Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;99225000-3;CHUBB SEGUROS CHILE S.A;3992187;23/01/2026;23/01/2026 12:30;;0;309353;58777;;;368130;;;;;0;;;;0;;;
2;33;Del Giro;76360903-0;RENTOKIL INITIAL CHILE SPA;760433;23/01/2026;23/01/2026 13:20;;0;104803;19913;;;124716;;;;;0;;;;0;;;
3;33;Del Giro;96805690-5;COSCO SHIPPING LINES (CHILE);369481;23/01/2026;23/01/2026 17:22;;0;55000;10450;;;65450;;;;;0;;;;0;;;
4;33;Del Giro;99225000-3;CHUBB SEGUROS CHILE S.A;3992438;26/01/2026;26/01/2026 16:14;;0;240608;45716;;;286324;;;;;0;;;;0;;;
5;33;Del Giro;78921690-8;WOM S.A.;17531334;26/01/2026;27/01/2026 23:59;;0;131229;24934;;;156163;;;;;0;;;;0;;;
6;33;Del Giro;81201000-K;Cencosud Retail S.A.;25565063;28/01/2026;29/01/2026 9:13;;0;539421;102490;;;641911;;;;;0;;;;0;;;
7;33;Del Giro;76110436-5;Jach Technology SpA;15429;29/01/2026;29/01/2026 15:54;;0;651853;123852;;;775705;;;;;0;;;;0;;;
8;33;Del Giro;76110436-5;Jach Technology SpA;15434;30/01/2026;30/01/2026 11:01;;0;588258;111769;;;700027;;;;;0;;;;0;;;
9;33;Del Giro;76098820-0;BODEGAS SAN FRANCISCO LIMITADA;225561;01/02/2026;30/01/2026 12:18;;0;3097179;588464;;;3685643;;;;;0;;;;0;;;
10;33;Del Giro;76976740-1;LATAMFIT CHILE SPA;17263;30/01/2026;30/01/2026 12:30;;0;265331;50413;;;315744;;;;;0;;;;0;;;
11;33;Del Giro;76058647-1;VERISURE CHILE SPA;11898384;01/02/2026;01/02/2026 1:26;;0;60746;11542;;;72288;;;;;0;;;;0;;;
12;33;Del Giro;76376315-3;VTEX CHILE SPA;17252;31/01/2026;01/02/2026 7:40;;0;1097655;208554;;;1306209;;;;;0;;;;0;;;
13;33;Del Giro;90635000-9;Telefonica Chile S.A;54138757;01/02/2026;01/02/2026 8:28;;0;647961;123113;;;771074;;;;;0;;;;0;;;
